4220,4220,437,563
423,423,515,555
4243,4243,517,529
425,425,511,636
427,427,729,473
4244,4244,584,530
4246,4246,610,528
4248,4248,655,531
4264,4264,699,530
4262,4262,695,574
4274A,4274A,834,408
4276,4276,879,411
4278A,4278A,922,416
4320,4320,1232,533
4322,4322,1229,566
4324,4324,1228,611
4326,4326,1306,613
4328,4328,1301,565
4332,4332,1320,533
4376,4376,1534,455
4378,4378,1504,496
4372,4372,1567,462
4368,4368,1604,460
4364,4364,1643,465
4362,4362,1653,528
4366,4366,1618,528
4370,4370,1577,526
4374,4374,1546,528
4354,4354,1594,557
4379,4379,1657,557
4355,4355,1544,629
437,437,1557,588
4360,4360,1695,490
4396,4396,1797,491
4394,4394,1842,475
4392,4392,1877,476
4387,4387,1918,479
4388,4388,1948,506
4386,4386,1898,544
4384,4384,1856,598
4381,4381,1786,595
4380B,4380B,1786,567
4382A,4382A,1804,547
4010,4010,1885,1012
4012,4012,1789,988
4002,4002,1742,928
4004,4004,1747,882
4064,4064,1427,908
4060,4060,1378,931
4074,4074,1304,960
4072,4072,1307,923
4076,4076,1250,969
4078,4078,1220,972
4100B,4100B,1773,998
4178,4178,477,1028
4176,4176,514,1036
4174,4174,522,1045
4172,4172,593,1055
4168,4168,623,1062
4164,4164,655,1075
4162,4162,696,1085
4148,4148,741,1096
4146,4146,768,1098
4144,4144,802,1106
4142,4142,836,1112
4138,4138,874,1115
4136,4136,910,1120
4134,4134,968,1124
4132,4132,1003,1123
4114,4114,1070,1116
4110,4110,1145,1111
4102,4102,1174,1075
4118,4118,1084,1026
5206,5206,290,445
5208,5208,329,426
5210,5210,366,420
5212,5212,398,411
5214,5214,433,400
5216,5216,467,396
5218,5218,495,387
5220,5220,536,387
5222,5222,533,446
5230,5230,523,484
5219,5219,486,494
5211,5211,454,494
5215,5215,448,461
5217,5217,484,450
5207,5207,392,475
5205,5205,358,488
5203,5203,387,559
5209,5209,425,554
5202,5202,319,521
5286,5286,901,556
5288,5288,939,561
5391,5391,1755,465
5395,5395,1810,460
5397,5397,1843,457
5398,5398,1879,474
5394,5394,1827,514
5390,5390,1802,540
5388,5388,1780,567
5387,5387,1736,513
5010,5010,1685,839
5012,5012,1717,866
5014,5014,1757,896
5016,5016,1786,920
5018,5018,1830,942
5009,5009,1735,945
5011,5011,1698,948
5013,5013,1663,948
5015,5015,1616,943
5003,5003,1638,914
5005,5005,1692,909
5022,5022,1789,1001
5024,5024,1750,998
5026,5026,1713,1004
5028,5028,1668,1008
5030,5030,1642,1008
5032,5032,1602,1014
5034,5034,1570,1019
5052,5052,1386,1028
5054,5054,1344,1034
5056,5056,1309,1035
5049,5049,1309,993
5050,5050,1377,983
5046,5046,1378,946
5047,5047,1309,952
5045,5045,1308,912
5082,5082,1288,885
5043,5043,1311,871
5042,5042,1376,866
5160,5160,827,895
5162,5162,827,934
5164,5164,825,967
5166,5166,822,1007
5170,5170,813,1055
5172,5172,784,1052
5174,5174,747,1051
5167,5167,755,999
5165,5165,761,961
5163,5163,767,926
